"Data Source","World Development Indicators",

"Last Updated Date","2022-07-20",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Aruba","ABW","Intentional homicides (per 100,000 people)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","7.46974752253374","","","","2.24696379017852","","4.30607587305688","5.26360114535961","4.12303125257689","2.02543952037592","5.99832047026833","4.95884161459883","2.96366546144271","4.93281505889781","3.94275125182352","3.93449072935622","1.95982361587457","3.89996587529859","5.81592594387631","1.92722787542399","","","","","","","",
"Africa Eastern and Southern","AFE","Intentional homicides (per 100,000 people)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.1","","10.5","10.3","","","","","","",
"Afghanistan","AFG","Intentional homicides (per 100,000 people)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.92677449530735","3.3681096075378","4.08733672359819","6.25132816655284","","","9.78392178232544","6.5511634561067","6.6784014408596","6.65556115177472","","","",
"Africa Western and Central","AFW","Intentional homicides (per 100,000 people)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.3","","8.1","8.1","","","","","","",
"Angola","AGO","Intentional homicides (per 100,000 people)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.35578551534104","4.84707517646321","","","","","","","","","",
"Albania","ALB","Intentional homicides (per 100,000 people)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.0050685683143","5.97772405824244","3.55949020472789","8.32015440150624","8.77787742533237","43.035770338676","21.2170962217817","17.036538892625","4.18631197419442","7.0294254946399","6.9093843834478","5.32389656631122","4.21914700442173","4.98896919473502","3.10151317930892","3.46078583569573","3.09723004393071","2.85902260444178","4.30796304921017","4.84873152744263","5.38761486858166","4.27028419430069","4.03962701467766","2.21413141700259","2.73694779046898","2.01097785878705","2.2894924438077","2.25622918845519","2.11967475154632","",
"Andorra","AND","Intentional homicides (per 100,000 people)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.31147540983607","","","0","1.19246362985929","0","0","1.19405836557291","0","0","0","0","","","","","2.588494143532","",
"Arab World","ARB","Intentional homicides (per 100,000 people)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.7","","4.2","3.8","","","","","","",
"United Arab Emirates","ARE","Intentional homicides (per 100,000 people)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.78362591429846","0.570037615776316","0.754791448934858","0.61970613317724","0.662022955483189","0.647745586261575","","","","0.655031264437554","","",
"Argentina","ARG","Intentional homicides (per 100,000 people)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.39422117026335","9.47408404117612","7.78988247858255","6.07399413436101","5.6514136093239","5.37288537128496","5.39004049031679","5.91564519492051","6.52623067987465","5.82945646358224","6.07688721653082","6.34172692504702","7.2803050637413","7.57079893130715","6.58612327737009","6.03330952263789","5.27344256316347","5.38083435618779","5.14284342520518","5.34563218151997","",
"Armenia","ARM","Intentional homicides (per 100,000 people)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.03085781213081","5.3063277387712","8.85901673628014","7.96881220988543","4.78124436604963","3.60545281223765","3.59824292116723","3.19174639915151","2.99161286856751","2.91354539627455","2.96455853976923","2.88459710373339","2.27424343501728","","2.76600743489468","1.94548483159145","2.67045172212023","2.6256429841626","3.33606753301245","3.35861644392461","1.94625960183699","2.46824652985396","2.25362738663474","2.17421839437078","2.47218533973492","2.56361262924453","2.96306690366661","2.37708032731717","1.69391555695435","2.4681106579104","1.75483947605893","",
"American Samoa","ASM","Intentional homicides (per 100,000 people)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.70951859956236","11.8489429050223","5.04244054122195","6.70196367535688","10.0743825243044","6.76715897748228","1.71329689721932","5.21829883457993","3.5288928098809","8.91519863062549","8.96780557797507","3.5926637805601","5.38435306997864","5.37721137817928","7.16768806221553","5.38222788352859","","","0","","",
"Antigua and Barbuda","ATG","Intentional homicides (per 100,000 people)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.59915564581901","4.7346243075612","3.1027474828961","6.08115298660626","7.44036547075192","10.1933830382106","4.2749658002736","1.39456398956866","","","6.57834146854895","9.06594829819199","6.38585915349051","6.30429574712209","4.97840616326683","3.68269868159387","13.2986761772351","20.2311106879768","18.7366793919948","18.4452924155263","6.81585823014881","","11.0610904022919","","","","","20.9588682211161","12.4633887954135","3.08912114503424","9.19042561882199","",
