Country Name,Country Code,Series Name,Series Code,2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Afghanistan,AFG,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,10.9127735539374,7.19975128908025,22.5277561997899,2.09628874882868,-2.16340442783005,3.81463031709113,16.5933467311629,7.30175647136598,4.82278547931647,0.566944540816536,2.44756300204637,-2.19752646590604,2.40365618844285,2.07134857890898,6.52147984507825,7.82166712677619
Albania,ALB,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,3.30681814689954,2.47818888688769,4.3867093833438,4.11708542559394,2.41833605890835,4.49314320031891,2.31474379699794,1.04271460643407,0.288745964127756,1.54991706986272,0.563991350160876,-0.632653419095547,1.45106269924993,1.47305810274607,1.25658995186268,0.678486248525417
Algeria,DZA,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,16.1253504178912,10.546704283178,6.39533725088349,15.3105810066653,-11.1616154479497,16.1199808975677,18.2280122524136,7.4583365235104,-0.0933043780076446,-0.300580434768506,-6.4556504121538,1.54888054873199,6.39065471249698,6.86293666645625,-0.468024909757474,-5.50848767372672
American Samoa,ASM,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,-1.36558343263874,2.81367521367521,3.16061220726536,11.0593351972663,25.776397515528,-15.3648895532304,-0.52356020942409,17.3684210526316,2.24358974358974,-0.962160294226521,1.4697327650683,1.40582171236608,-1.94089005769675,1.69536107125778,1.90555095277547,5.28476589797344
Andorra,AND,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,3.39610212995052,3.45718408670396,3.21122734131436,2.27433831984322,0.132136132405464,0.374313758110119,0.196764152031051,0.174556905779482,0.448492200194735,-0.0840193165570753,0.660588959137868,0.347795381575793,1.13650934319639,1.01247848005298,1.37475350829189,1.11378607410401
Angola,AGO,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,42.3742492617284,17.1156651448542,4.30843221207182,19.3657735558326,-16.7621402901592,31.6881762457922,31.7740748860487,7.25783205139932,2.84424440365498,3.56341330066468,-3.51497153517806,21.774173527271,22.6179364991191,28.1670288537532,19.1842756572896,18.0367682973202
Antigua and Barbuda,ATG,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,4.46164257276489,0.407675597393194,3.73413016629303,4.38066735456772,1.83693630723725,1.47335735006745,1.01541519384149,2.03571198150139,-0.946544450222504,1.91150380003631,3.01750370241558,1.87367154721152,-0.92986217839784,2.35281632522405,0.208076985397781,1.74498628223898
Argentina,ARG,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,10.3175111982406,13.7410524859152,14.9399250245835,23.1711649813124,15.3776493708921,20.915124272047,23.7034721839593,22.3148806733049,23.9487984162746,40.2829716315506,26.5799916024707,41.1193799882279,26.0063792819079,42.0336689575031,50.9214987087306,39.8912174304965
Armenia,ARM,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,3.20875666635281,4.61801250818827,4.2778755387818,5.98956236068734,2.49725307891563,7.76871548067652,4.28154999826118,5.34580441814725,3.36682464224465,2.30918242990974,1.21390990471085,0.268575076501392,2.15064189848613,2.78770951425761,1.06562263923419,2.02254113406862
Aruba,ABW,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,5.06249126984655,3.48522647295395,5.15793661182397,4.26406334686595,1.70383781144128,-1.21664207022754,4.01181416993168,0.168847373421684,-1.9867549668874,2.33510856206473,2.53159203921001,-1.38971311410744,-1.75393532953404,2.26327072846355,5.56880541962809,-2.90275639903498
Australia,AUS,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,3.80695099443184,5.12048467467758,4.9824303154294,4.6145835235411,4.9883384540998,1.16538343870303,6.20678072165643,1.78912996440673,-0.152591540025981,1.44182452992179,-0.61654239981722,-0.597558624754228,3.74509003702453,1.83015529797454,3.41878591584748,1.78365535795395
Austria,AUT,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,2.53779415754438,1.89216106882701,2.22117586707647,1.95632228093217,1.88926417785875,0.873054962177932,1.83341024455663,2.05423568508493,1.62388806972808,2.17570723682326,2.30097866680524,1.84829469843848,1.0055341594591,1.80193050754474,1.62258940533843,2.31234459193537
Azerbaijan,AZE,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,14.7234965182528,11.3012191438311,21.0293287543152,27.777459536561,-18.8449572890202,13.5458167908374,22.524361140543,2.88293295403217,0.445064509020867,-1.28499552026639,-8.84969256895297,14.6714002511137,16.1724003104411,12.1848769569655,-0.241307927446329,-7.39596582740913
"Bahamas, The",BHS,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,5.05684575856435,0.827937102951083,2.94732245374163,1.48846435741036,-1.0359904468729,-0.392294308970037,-0.8588156229238,3.26728794531385,1.43332064920455,3.8871158765119,5.08878285336813,0.632944228443662,1.32856460507182,1.36628397829921,1.50126243865081,-3.48689981036041
